key_mlbam,full_name,name_no_accent,birth_date,pro_played_first,fg_link,bbref_register_link
660670,Ronald Acuna,Ronald Acuna,1997-12-18,2015,http://www.fangraphs.com/statss.aspx?playerid=18401,https://www.baseball-reference.com/register/player.fcgi?id=acuna-002ron
592094,Jason Adam,Jason Adam,1991-08-04,2011,http://www.fangraphs.com/statss.aspx?playerid=11861,https://www.baseball-reference.com/register/player.fcgi?id=adam--001jas
668530,Freisis Adames,Freisis Adames,1996-11-18,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adames000fre
600853,Jose Adames,Jose Adames,1993-01-17,2011,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adames002jos
642715,Willy Adames,Willy Adames,1995-09-02,2013,http://www.fangraphs.com/statss.aspx?playerid=15986,https://www.baseball-reference.com/register/player.fcgi?id=adames000wil
613534,Austin Adams,Austin Adams,1991-05-05,2012,http://www.fangraphs.com/statss.aspx?playerid=13801,https://www.baseball-reference.com/register/player.fcgi?id=adams-002aus
682059,Derrick Adams,Derrick Adams,1997-03-08,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adams-003der
677941,Jordyn Adams,Jordyn Adams,1999-10-18,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adams-002jor
571431,Matt Adams,Matt Adams,1988-08-31,2009,http://www.fangraphs.com/statss.aspx?playerid=9393,https://www.baseball-reference.com/register/player.fcgi?id=adams-001mat
699499,Mike Adams,Mike Adams,1994-09-07,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adams-001mik
656180,Riley Adams,Riley Adams,1996-06-26,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adams-000ril
686670,Tyler Adams,Tyler Adams,1998-03-17,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adams-004tyl
666176,Jo Adell,Jo Adell,1999-04-08,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adell-000jo-
534947,Tim Adleman,Tim Adleman,1987-11-13,2010,http://www.fangraphs.com/statss.aspx?playerid=10968,https://www.baseball-reference.com/register/player.fcgi?id=adlema001tim
650520,Micker Adolfo,Micker Adolfo,1996-09-11,2014,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adolfo000mic
680244,Ross Adolph,Ross Adolph,1996-12-17,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adolph000ros
672851,Joan Adon,Joan Adon,1998-08-12,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=adon--000joa
501303,Ehire Adrianza,Ehire Adrianza,1989-08-21,2006,http://www.fangraphs.com/statss.aspx?playerid=8418,https://www.baseball-reference.com/register/player.fcgi?id=adrian001ehi
688030,Joe Aeilts,Joe Aeilts,1998-01-01,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aeilts000joe
679711,Clay Aguilar,Clay Aguilar,1999-03-26,2021,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aguila000cla
542583,Jesus Aguilar,Jesus Aguilar,1990-06-30,2008,http://www.fangraphs.com/statss.aspx?playerid=11342,https://www.baseball-reference.com/register/player.fcgi?id=aguila001jes
620396,Miguel Aguilar,Miguel Aguilar,1991-09-26,2012,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aguila000mig
666922,Ryan Aguilar,Ryan Aguilar,1994-09-11,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aguila000rya
605113,Nick Ahmed,Nick Ahmed,1990-03-15,2011,http://www.fangraphs.com/statss.aspx?playerid=12147,https://www.baseball-reference.com/register/player.fcgi?id=ahmed-000nic
664027,Vincenzo Aiello,Vincenzo Aiello,1994-08-06,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aiello000vin
663835,Cole Aker,Cole Aker,1996-09-18,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aker--000col
669211,Keegan Akin,Keegan Akin,1995-04-01,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=akin--000kee
673451,Shogo Akiyama,Shogo Akiyama,1988-04-16,2011,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=akiyam000sho
611457,Takumi Akiyama,Takumi Akiyama,1991-04-26,2010,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=akiyam001tak
673452,Ryo Akiyoshi,Ryo Akiyoshi,1989-03-21,2014,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=akiyos000ryo
595798,R. J. Alaniz,R. J. Alaniz,1991-06-14,2010,http://www.fangraphs.com/statss.aspx?playerid=10819,https://www.baseball-reference.com/register/player.fcgi?id=alaniz001rub
665983,Kelvin Alarcon,Kelvin Alarcon,1999-03-06,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alarco002kel
658647,Tomas Alastre,Tomas Alastre,1998-06-11,2015,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alastr000tom
452027,Andrew Albers,Andrew Albers,1985-10-06,2008,http://www.fangraphs.com/statss.aspx?playerid=7853,https://www.baseball-reference.com/register/player.fcgi?id=albers001and
593643,Hanser Alberto,Hanser Alberto,1992-10-17,2010,http://www.fangraphs.com/statss.aspx?playerid=11902,https://www.baseball-reference.com/register/player.fcgi?id=albert001han
666016,Jose Albertos,Jose Albertos,1998-11-07,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=albert000jos
645277,Ozzie Albies,Ozzie Albies,1997-01-07,2014,http://www.fangraphs.com/statss.aspx?playerid=16556,https://www.baseball-reference.com/register/player.fcgi?id=albies000ozh
660896,Jorge Alcala,Jorge Alcala,1995-07-28,2015,http://www.fangraphs.com/statss.aspx?playerid=19459,https://www.baseball-reference.com/register/player.fcgi?id=alcala000jor
674220,Adrian Alcantara,Adrian Alcantara,1999-08-29,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alcant000adr
667322,Jhosua Alcantara,Jhosua Alcantara,1997-09-30,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alcant000jho
593417,Raul Alcantara,Raul Alcantara,1992-12-04,2010,http://www.fangraphs.com/statss.aspx?playerid=12790,https://www.baseball-reference.com/register/player.fcgi?id=alcant001rau
678921,Raul Alcantara,Raul Alcantara,2001-01-22,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alcant003rau
645261,Sandy Alcantara,Sandy Alcantara,1995-09-07,2014,http://www.fangraphs.com/statss.aspx?playerid=18684,https://www.baseball-reference.com/register/player.fcgi?id=alcant000san
642727,Sergio Alcantara,Sergio Alcantara,1996-07-10,2013,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alcant000ser
666177,Carter Aldrete,Carter Aldrete,1997-10-12,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aldret000car
677942,Blaze Alexander,Blaze Alexander,1999-06-11,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alexan001bla
680769,CJ Alexander,CJ Alexander,1996-07-17,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alexan000cj-
670116,Evan Alexander,Evan Alexander,1998-02-26,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alexan000eva
687882,Hill Alexander,Hill Alexander,1996-06-13,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alexan003jam
669920,Jason Alexander,Jason Alexander,1993-03-01,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alexan000jas
518397,Scott Alexander,Scott Alexander,1989-07-10,2010,http://www.fangraphs.com/statss.aspx?playerid=10591,https://www.baseball-reference.com/register/player.fcgi?id=alexan001sco
641302,Tyler Alexander,Tyler Alexander,1994-07-14,2015,http://www.fangraphs.com/statss.aspx?playerid=17735,https://www.baseball-reference.com/register/player.fcgi?id=alexan000tyl
595751,Jorge Alfaro,Jorge Alfaro,1993-06-11,2010,http://www.fangraphs.com/statss.aspx?playerid=12180,https://www.baseball-reference.com/register/player.fcgi?id=alfaro001jor
672613,Eliezer Alfonzo,Eliezer Alfonzo,1999-09-23,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alfonz002eli
546990,Anthony Alford,Anthony Alford,1994-07-20,2012,http://www.fangraphs.com/statss.aspx?playerid=14329,https://www.baseball-reference.com/register/player.fcgi?id=alford000ant
680846,Pablo Aliendo,Pablo Aliendo,2001-05-29,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aliend000pab
663465,Kolby Allard,Kolby Allard,1997-08-13,2015,http://www.fangraphs.com/statss.aspx?playerid=18694,https://www.baseball-reference.com/register/player.fcgi?id=allard000kol
682027,Cam Alldred,Cam Alldred,1996-07-25,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alldre000cam
664119,Austin Allen,Austin Allen,1994-01-16,2015,http://www.fangraphs.com/statss.aspx?playerid=18083,https://www.baseball-reference.com/register/player.fcgi?id=allen-001aus
681939,Chris Allen,Chris Allen,1998-06-13,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=allen-011chr
656185,Greg Allen,Greg Allen,1993-03-15,2014,http://www.fangraphs.com/statss.aspx?playerid=16623,https://www.baseball-reference.com/register/player.fcgi?id=allen-002gre
671106,Logan Allen,Logan Allen,1998-09-05,2021,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=allen-001log
663531,Logan Allen,Logan Allen,1997-05-23,2015,http://www.fangraphs.com/statss.aspx?playerid=18555,https://www.baseball-reference.com/register/player.fcgi?id=allen-000log
669397,Nick Allen,Nick Allen,1998-10-08,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=allen-003nic
680430,Nick Allgeyer,Nick Allgeyer,1996-02-03,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=allgey000nic
592105,Stetson Allie,Stetson Allie,1991-03-13,2011,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=allie-001ste
671275,Luis Almanzar,Luis Almanzar,1999-11-01,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=almanz001lui
622426,Adrian Almeida,Adrian Almeida,1995-02-25,2012,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=almeid000adr
658742,Diógenes Almengo,Diogenes Almengo,1995-06-02,2014,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=almeng000dio
501659,Abraham Almonte,Abraham Almonte,1989-06-27,2006,http://www.fangraphs.com/statss.aspx?playerid=5486,https://www.baseball-reference.com/register/player.fcgi?id=almont001abr
622075,Yency Almonte,Yency Almonte,1994-06-04,2012,http://www.fangraphs.com/statss.aspx?playerid=15068,https://www.baseball-reference.com/register/player.fcgi?id=almont000yen
501660,Zoilo Almonte,Zoilo Almonte,1989-06-10,2006,http://www.fangraphs.com/statss.aspx?playerid=6732,https://www.baseball-reference.com/register/player.fcgi?id=almont001zoi
546991,Albert Almora,Albert Almora,1994-04-16,2012,http://www.fangraphs.com/statss.aspx?playerid=14109,https://www.baseball-reference.com/register/player.fcgi?id=almora001alb
672906,Lázaro Alonso,Lazaro Alonso,1994-12-17,2014,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alonso000laz
624413,Pete Alonso,Pete Alonso,1994-12-07,2016,http://www.fangraphs.com/statss.aspx?playerid=19251,https://www.baseball-reference.com/register/player.fcgi?id=alonso000pet
664691,Garvin Alston,Garvin Alston,1997-03-12,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alston002gar
656186,Dan Altavilla,Dan Altavilla,1992-09-08,2014,http://www.fangraphs.com/statss.aspx?playerid=16507,https://www.baseball-reference.com/register/player.fcgi?id=altavi000dan
571437,Aaron Altherr,Aaron Altherr,1991-01-14,2009,http://www.fangraphs.com/statss.aspx?playerid=11270,https://www.baseball-reference.com/register/player.fcgi?id=alther001aar
514888,Jose Altuve,Jose Altuve,1990-05-06,2007,http://www.fangraphs.com/statss.aspx?playerid=5417,https://www.baseball-reference.com/register/player.fcgi?id=altuve001jos
666906,Jake Alu,Jake Alu,1997-04-06,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alu---000jak
621237,Jose Alvarado,Jose Alvarado,1995-05-21,2012,http://www.fangraphs.com/statss.aspx?playerid=17780,https://www.baseball-reference.com/register/player.fcgi?id=alvara004jos
656187,Luis Alvarado,Luis Alvarado,1997-01-05,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alvara004lui
669137,Armando Alvarez,Armando Alvarez,1994-07-14,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alvare005man
656032,Daniel Alvarez,Daniel Alvarez,1996-06-28,2014,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alvare004dan
657193,Eddy Alvarez,Eddy Alvarez,1990-01-30,2014,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alvare003---
682626,Francisco Alvarez,Francisco Alvarez,2001-11-19,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alvare006fra
501625,Jose Alvarez,Jose Alvarez,1989-05-06,2006,http://www.fangraphs.com/statss.aspx?playerid=5358,https://www.baseball-reference.com/register/player.fcgi?id=alvare009jos
676520,Manuel Alvarez,Manuel Alvarez,1995-09-17,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alvare006man
670389,Nelson Alvarez,Nelson Alvarez,1998-06-11,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alvare003nel
571439,R. J. Alvarez,R. J. Alvarez,1991-06-08,2012,http://www.fangraphs.com/statss.aspx?playerid=13401,https://www.baseball-reference.com/register/player.fcgi?id=alvare000rj-
666712,Roberto Alvarez,Roberto Alvarez,1999-07-28,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=alvare003rob
670541,Yordan Álvarez,Yordan Alvarez,1997-06-27,2013,http://www.fangraphs.com/statss.aspx?playerid=19556,https://www.baseball-reference.com/register/player.fcgi?id=alvare000yor
640470,Adbert Alzolay,Adbert Alzolay,1995-03-01,2013,http://www.fangraphs.com/statss.aspx?playerid=17859,https://www.baseball-reference.com/register/player.fcgi?id=alzola000adb
663610,Danny Amaral,Danny Amaral,1997-03-07,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=amaral000dan
676070,Jacob Amaya,Jacob Amaya,1998-09-03,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=amaya-000jac
661156,Luis Amaya,Luis Amaya,1998-08-26,2015,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=amaya-000lui
665804,Miguel Amaya,Miguel Amaya,1999-03-09,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=amaya-000mig
664011,Trey Amburgey,Trey Amburgey,1994-10-24,2015,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=amburg000tre
666178,Mike Amditis,Mike Amditis,1997-08-14,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=amditi000mik
669274,Edmond Americaan,Edmond Americaan,1997-03-26,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=americ000edm
687059,Justin Ammons,Justin Ammons,1998-03-16,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=ammons000jus
680971,Jake Anchia,Jake Anchia,1997-03-05,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anchia000jak
689379,Aidan Anderson,Aidan Anderson,1997-06-21,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anders000aid
670391,Ben Anderson,Ben Anderson,1998-05-02,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anders005ben
474463,Brett Anderson,Brett Anderson,1988-02-01,2007,http://www.fangraphs.com/statss.aspx?playerid=8223,https://www.baseball-reference.com/register/player.fcgi?id=anders001bre
605119,Brian Anderson,Brian Anderson,1993-05-19,2014,http://www.fangraphs.com/statss.aspx?playerid=18289,https://www.baseball-reference.com/register/player.fcgi?id=anders006bri
502624,Chase Anderson,Chase Anderson,1987-11-30,2009,http://www.fangraphs.com/statss.aspx?playerid=6895,https://www.baseball-reference.com/register/player.fcgi?id=anders011cha
623454,Drew Anderson,Drew Anderson,1994-03-22,2012,http://www.fangraphs.com/statss.aspx?playerid=15130,https://www.baseball-reference.com/register/player.fcgi?id=anders012and
681982,Grant Anderson,Grant Anderson,1997-06-21,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anders001gra
666120,Ian Anderson,Ian Anderson,1998-05-02,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anders000ian
670443,Jack Anderson,Jack Anderson,1994-01-10,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anders007jac
682271,Reid Anderson,Reid Anderson,1995-09-06,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anders000rei
669243,Ryan Anderson,Ryan Anderson,1998-09-09,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anders008rya
682141,Ryan Anderson,Ryan Anderson,1995-08-30,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anders007rya
641312,Shaun Anderson,Shaun Anderson,1994-10-29,2016,http://www.fangraphs.com/statss.aspx?playerid=19453,https://www.baseball-reference.com/register/player.fcgi?id=anders000sha
664196,Tanner Anderson,Tanner Anderson,1993-05-27,2015,http://www.fangraphs.com/statss.aspx?playerid=18029,https://www.baseball-reference.com/register/player.fcgi?id=anders000tan
641313,Tim Anderson,Tim Anderson,1993-06-23,2013,http://www.fangraphs.com/statss.aspx?playerid=15172,https://www.baseball-reference.com/register/player.fcgi?id=anders003tim
542881,Tyler Anderson,Tyler Anderson,1989-12-30,2012,http://www.fangraphs.com/statss.aspx?playerid=12880,https://www.baseball-reference.com/register/player.fcgi?id=anders001tyl
607430,John Andreoli,John Andreoli,1990-06-09,2011,http://www.fangraphs.com/statss.aspx?playerid=13012,https://www.baseball-reference.com/register/player.fcgi?id=andreo000joh
667385,Merfy Andrew,Merfy Andrew,1996-11-12,2021,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=andrew000mer
677076,Clayton Andrews,Clayton Andrews,1997-01-04,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=andrew003cla
681084,Tanner Andrews,Tanner Andrews,1995-11-15,2018,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=andrew000tan
542882,Matt Andriese,Matt Andriese,1989-08-28,2011,http://www.fangraphs.com/statss.aspx?playerid=12022,https://www.baseball-reference.com/register/player.fcgi?id=andrie001mat
462101,Elvis Andrus,Elvis Andrus,1988-08-26,2005,http://www.fangraphs.com/statss.aspx?playerid=8709,https://www.baseball-reference.com/register/player.fcgi?id=andrus001elv
672847,Axel Andueza,Axel Andueza,1998-10-27,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=anduez000axe
609280,Miguel Andujar,Miguel Andujar,1995-03-02,2012,http://www.fangraphs.com/statss.aspx?playerid=15878,https://www.baseball-reference.com/register/player.fcgi?id=anduja000mig
664594,Nelmerson Angela,Nelmerson Angela,1998-02-20,2015,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=angela000nel
683494,Euribiel Angeles,Euribiel Angeles,2002-05-11,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=angele000eur
660437,Andres Angulo,Andres Angulo,1997-09-05,2015,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=angulo000and
656196,Argenis Angulo,Argenis Angulo,1994-02-26,2014,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=angulo000arg
622088,Tejay Antone,Tejay Antone,1993-12-05,2014,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=antone000tej
689577,Aaron Antonini,Aaron Antonini,1998-07-27,2019,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=antoni000aar
671276,Yasel Antuna,Yasel Antuna,1999-10-26,2017,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=antuna000yas
493114,Nori Aoki,Nori Aoki,1982-01-05,2004,http://www.fangraphs.com/statss.aspx?playerid=13075,https://www.baseball-reference.com/register/player.fcgi?id=aoki--001nor
665918,Miguel Aparicio,Miguel Aparicio,1999-03-17,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aparic001mig
665947,Sherten Apostel,Sherten Apostel,1999-03-11,2016,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aposte000she
571446,Mark Appel,Mark Appel,1991-07-15,2013,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=appel-001mar
659821,Alex Aquino,Alex Aquino,1996-07-06,2015,http://www.fangraphs.com/statss.aspx?playerid=NA,https://www.baseball-reference.com/register/player.fcgi?id=aquino000ale
